Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Congo, Rep.",COG,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.860740304,,-1.198796749,,-0.943886817,,-1.009017944,-1.090136647,-1.03629005,-1.059439778,-1.108278513,-1.160955787,-1.193248868,-1.213840961,-1.157320261,-1.144993901,-1.229751229,-1.176573396,-1.199824452,-1.251138687,-1.210165262,-1.349830151,-1.359873056,-1.419934154,-1.441919923,-1.37306428,
Colombia,COL,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.512254357,,-0.523701608,,-0.406262517,,-0.264330655,-0.204286307,-0.140631452,-0.145389393,-0.175137788,-0.279160351,-0.261542618,-0.337012529,-0.423333108,-0.317527682,-0.422298342,-0.441052586,-0.397179246,-0.327314526,-0.360338539,-0.405644536,-0.317016244,-0.260884941,-0.229837,-0.344050169,
Comoros,COM,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.998565018,,-0.970211029,,-0.962091506,,-0.67476815,-0.693807721,-0.864246011,-0.887240291,-0.700171769,-0.691559911,-0.772487402,-0.812594295,-0.78624922,-0.803916514,-0.781551659,-0.731784344,-0.586587667,-0.744379461,-0.685008645,-0.685020924,-0.825517178,-1.036279678,-1.184200406,-1.287278533,
Cabo Verde,CPV,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.143337369,,1.15506649,,1.127157092,,0.495939344,0.478955358,0.338964373,0.590595901,0.838406205,0.918705285,0.900168598,0.892971933,0.877152562,0.924242795,0.885680318,0.851895511,0.97090441,0.951782465,0.862223923,0.82485795,0.786523998,0.87260592,0.867775917,1.035422206,
Costa Rica,CRI,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696142435,,0.756039143,,0.698608518,,0.444571555,0.516545832,0.284917921,0.365192473,0.378651321,0.457115024,0.493208975,0.715470135,0.664391637,0.593173563,0.570753694,0.577552676,0.725670099,0.718856454,0.710135281,0.462072641,0.529078066,0.655114949,0.687667131,0.495704889,
Caribbean small states,CSS,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289152533,,0.34461689,,0.357008874,,0.401489079,0.220001534,0.217612058,0.268494964,0.252376884,0.301246494,0.262841046,0.274810225,0.308642894,0.26503998,0.228043005,0.113353908,0.062915348,0.065859646,0.16319108,0.261002392,0.1611045,0.039371483,-0.130971029,-0.009721875,
Curacao,CUW,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.318143249,,1.334758759,,1.313403845,,1.310743809,1.33278954,1.259595275,1.269663095,1.25131321,1.26187098,0.797165334,1.109147549,1.121295571,1.344402432,1.346243501,1.351891994,1.014231563,1.015789151,0.523208559,0.522292554,0.492103606,0.462481052,0.469391435,0.499766856,
Cyprus,CYP,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.331288218,,1.061723828,,1.081236482,,1.126284242,1.192308187,0.873254597,0.899039984,1.085562587,1.073370457,1.193127513,0.9054178,0.969285846,0.859248042,1.243302345,1.238514423,1.071142793,1.004094839,0.820996881,0.778250337,0.635751843,0.626630962,0.37409839,0.394521177,
